Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
SLC17A1	"NAPI-1, NPT1"	ENSG00000124568	"Solute carrier family 17 member 1"	Q14916	6	25782915-25832052	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	49	"kidney: 163.0;liver: 47.9"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 12.5;Hepatocytes: 8.7;Proximal tubular cells: 42.1"	"Group enriched"	"Detected in some"	150	"liver cancer: 7.6;renal cancer: 19.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"Kidney cancer: 12.2"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA050513			Uncertain	"Golgi apparatus"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		"Golgi apparatus"		"HPA050513: AB_2681152"			"unprognostic (6.98e-2)"		"unprognostic (2.99e-1)"		"unprognostic (1.03e-1)"				"unprognostic (1.26e-1)"		"unprognostic (2.71e-3)"	"unprognostic (1.32e-1)"	"unprognostic (2.37e-1)"	"unprognostic (4.74e-1)"	
AGXT2	AGT2	ENSG00000113492	"Alanine--glyoxylate aminotransferase 2"	Q9BYV1	5	34998101-35048135	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Aminotransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	44	"kidney: 200.3;liver: 119.7"	"Group enriched"	"Detected in some"	10	"Hepatocytes: 105.3;Proximal tubular cells: 266.4"	"Group enriched"	"Detected in some"	112	"liver cancer: 9.2;renal cancer: 12.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA037382	Enhanced						NA	NA		13000		"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA037382: AB_10670851"	"unprognostic (2.61e-1)"						"unprognostic (1.40e-2)"						"prognostic favorable (7.47e-4)"	"unprognostic (8.24e-2)"	"unprognostic (1.28e-1)"		
DIO1	TXDI1	ENSG00000211452	"Iodothyronine deiodinase 1"	P49895	1	53891239-53911086	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Thyroid hormones biosynthesis"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	42	"kidney: 139.6;liver: 179.7;thyroid gland: 252.7"	"Group enriched"	"Detected in some"	6	"Hepatocytes: 58.8;Proximal tubular cells: 66.3"	"Group enriched"	"Detected in many"	8	"liver cancer: 44.7;thyroid cancer: 43.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	12	"breast cancer: 3.8;liver cancer: 2.5;prostate cancer: 4.9;thyroid cancer: 9.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"					"unprognostic (4.89e-2)"	"unprognostic (4.86e-2)"	"unprognostic (1.81e-2)"	"unprognostic (1.21e-2)"	"unprognostic (1.06e-1)"	"unprognostic (2.68e-2)"	"unprognostic (3.91e-3)"	"unprognostic (6.96e-4)"	"unprognostic (6.94e-2)"	"unprognostic (4.83e-2)"	"unprognostic (8.81e-2)"	"unprognostic (1.43e-1)"	"unprognostic (3.50e-3)"	"unprognostic (9.99e-3)"	"unprognostic (3.78e-2)"	"prognostic unfavorable (5.44e-4)"	"unprognostic (3.59e-2)"
DPYS	DHPase	ENSG00000147647	Dihydropyrimidinase	Q14117	8	104330324-104467055	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	39	"kidney: 192.1;liver: 463.1"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 393.7;Mesothelial cells: 158.7;Proximal tubular cells: 373.4"	"Cancer enriched"	"Detected in some"	5	"liver cancer: 57.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Rhabdoid: 1.2"	"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA024785, HPA070814"	Enhanced						NA	NA		820000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	9			"HPA024785: AB_1847856, HPA070814: "	"unprognostic (1.54e-3)"	"unprognostic (2.33e-1)"		"unprognostic (1.47e-1)"	"unprognostic (2.18e-1)"	"unprognostic (2.69e-1)"	"unprognostic (2.38e-3)"	"unprognostic (4.16e-4)"	"unprognostic (1.56e-1)"	"unprognostic (3.53e-2)"	"unprognostic (3.85e-3)"	"unprognostic (2.43e-1)"	"unprognostic (4.81e-2)"	"unprognostic (9.56e-3)"	"unprognostic (2.72e-1)"	"unprognostic (2.02e-1)"	"unprognostic (1.86e-1)"
SLC6A19	B0AT1	ENSG00000174358	"Solute carrier family 6 member 19"	Q695T7	5	1201595-1225111	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Amino-acid transport, Symport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	35	"intestine: 138.5;kidney: 85.6"	"Cell type enriched"	"Detected in some"	6	"Proximal enterocytes: 513.6"	"Group enriched"	"Detected in many"	4	"renal cancer: 7.9;stomach cancer: 5.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Leukemia: 6.1;liver cancer: 7.2"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA037415, HPA043207"	Enhanced						NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"		"Cluster 47: Leukemia - Hemostasis"	"Cluster 22: Proximal enterocytes - Digestion"	1			"HPA037415: AB_10672346, HPA043207: AB_2678363"			"unprognostic (1.26e-1)"				"unprognostic (1.01e-3)"				"unprognostic (6.04e-2)"	"unprognostic (3.64e-1)"	"prognostic favorable (4.14e-6)"	"unprognostic (1.37e-1)"	"unprognostic (7.36e-2)"		
PRODH2	HSPOX1	ENSG00000250799	"Proline dehydrogenase 2"	Q9UF12	19	35799988-35813299	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Proline metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	34	"kidney: 136.4;liver: 169.4"	"Group enriched"	"Detected in some"	19	"Hepatocytes: 143.9;Proximal tubular cells: 329.3"	"Cancer enriched"	"Detected in some"	5	"liver cancer: 28.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"liver cancer: 9.1"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA051287	Approved		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		Nucleoplasm	Cytosol	"HPA051287: AB_2681420"							"unprognostic (2.58e-1)"				"unprognostic (3.41e-3)"		"unprognostic (2.75e-2)"	"unprognostic (7.03e-2)"	"unprognostic (1.73e-1)"		
SLC39A5		ENSG00000139540	"Solute carrier family 39 member 5"	Q6ZMH5	12	56230049-56237846	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport, Zinc transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	32	"intestine: 230.5;kidney: 105.8;liver: 167.0;pancreas: 297.9"	"Cell type enriched"	"Detected in some"	4	"Proximal enterocytes: 802.3"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 30.6;liver cancer: 36.3"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"colorectal cancer: 20.4;Gastric cancer: 12.0;liver cancer: 22.1"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Region enhanced"	"Detected in single"		"basal ganglia: 1.1"	"Not detected"	"Not detected"			HPA018423			Approved	Nucleoplasm,Vesicles			NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 15: Non-specific - Transcription"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"		Vesicles	Nucleoplasm	"HPA018423: AB_1857154"	"unprognostic (5.94e-3)"	"unprognostic (8.29e-2)"	"unprognostic (1.82e-2)"	"unprognostic (2.19e-7)"	"unprognostic (1.73e-1)"	"unprognostic (7.79e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.36e-1)"	"unprognostic (1.08e-1)"	"unprognostic (1.32e-1)"	"unprognostic (7.33e-2)"	"unprognostic (2.93e-3)"	"prognostic favorable (5.05e-4)"	"unprognostic (2.75e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.96e-4)"
GLYATL1	"FLJ34646, MGC15397"	ENSG00000166840	"Glycine-N-acyltransferase like 1"	Q969I3	11	58905398-59043527	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	30	"kidney: 135.0;liver: 527.0"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 287.9;Proximal tubular cells: 517.2"	"Group enriched"	"Detected in some"	8	"liver cancer: 14.1;prostate cancer: 13.3;renal cancer: 10.1"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	19	"prostate cancer: 68.5"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells"									HPA039501	Supported		Uncertain	"Golgi apparatus,Cytosol"			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		"Golgi apparatus"	Cytosol	"HPA039501: AB_2676545"	"unprognostic (9.46e-3)"	"unprognostic (5.33e-2)"	"unprognostic (3.90e-5)"	"unprognostic (3.93e-3)"	"unprognostic (3.54e-3)"	"unprognostic (2.17e-1)"	"prognostic favorable (3.69e-4)"	"unprognostic (3.62e-1)"	"unprognostic (2.51e-1)"	"unprognostic (1.05e-1)"	"unprognostic (2.08e-1)"	"unprognostic (2.92e-1)"	"prognostic favorable (3.03e-5)"	"unprognostic (1.50e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.86e-2)"	"unprognostic (4.55e-2)"
CLDN14	DFNB29	ENSG00000159261	"Claudin 14"	O95500	21	36460621-36576569	"Disease related genes, Human disease related genes, Predicted membrane proteins"			"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	26	"kidney: 13.4;liver: 38.6"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 3.8;Distal tubular cells: 9.2;Ductal cells: 12.0;Exocrine glandular cells: 4.6;Glandular and luminal cells: 4.7;Hepatocytes: 18.6"	"Cancer enriched"	"Detected in many"	6	"liver cancer: 7.9"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lymphoma: 7.9"	"Liver - Hepatocytes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			HPA054707			Uncertain	Vesicles			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 45: Non-specific - Mixed function"	4	Vesicles		"HPA054707: "	"unprognostic (1.14e-1)"	"unprognostic (2.21e-1)"	"unprognostic (3.74e-2)"	"unprognostic (9.43e-2)"	"unprognostic (8.20e-3)"	"unprognostic (5.54e-2)"	"prognostic favorable (1.53e-4)"	"unprognostic (3.50e-4)"	"unprognostic (2.28e-1)"	"unprognostic (2.30e-2)"	"unprognostic (2.12e-2)"	"unprognostic (4.87e-1)"	"unprognostic (7.44e-4)"	"unprognostic (2.77e-2)"	"unprognostic (7.65e-2)"	"unprognostic (2.45e-2)"	"unprognostic (9.71e-2)"
ALDH8A1	ALDH12	ENSG00000118514	"Aldehyde dehydrogenase 8 family member A1"	Q9H2A2	6	134917393-134950115	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	25	"kidney: 69.4;liver: 239.6"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 33.1;Hepatocytes: 137.4;Mesothelial cells: 53.6;Proximal tubular cells: 115.3"	"Group enriched"	"Detected in some"	7	"liver cancer: 26.3;renal cancer: 17.6"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 2.4"	"Low lineage specificity"	"Detected in single"			"Cancer enriched"	"Detected in some"	8	"Rhabdoid: 15.0"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA026292, HPA055414"	Enhanced		Approved	Nucleoplasm,Centrosome			NA	NA		110000	"Cluster 46: Basophils - Proteolysis"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Centrosome	Nucleoplasm	"HPA026292: AB_1844741, HPA055414: AB_2682810"	"unprognostic (1.12e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.88e-1)"	"unprognostic (1.75e-1)"	"unprognostic (2.70e-2)"	"unprognostic (6.32e-2)"	"unprognostic (4.30e-3)"	"unprognostic (1.12e-1)"	"unprognostic (3.98e-2)"	"unprognostic (1.64e-1)"	"unprognostic (2.39e-2)"	"unprognostic (3.99e-2)"	"prognostic favorable (9.87e-4)"	"unprognostic (1.25e-2)"	"unprognostic (1.36e-1)"	"unprognostic (2.36e-2)"	"unprognostic (5.86e-5)"
LHX1	"LIM-1, LIM1"	ENSG00000273706	"LIM homeobox 1"	P48742	17	36936785-36944612	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	25	"brain: 32.7;kidney: 10.4"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 35.0;Bipolar cells: 15.3;Collecting duct cells: 44.7;Horizontal cells: 84.3;Proximal tubular cells: 13.0;Secretory cells: 11.5"	"Group enriched"	"Detected in some"	4	"ovarian cancer: 8.1;testis cancer: 2.3"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"thyroid cancer: 2.5"		"Region enhanced"	"Detected in many"		"cerebellum: 19.1"	"Region enriched"	"Detected in many"	4	"cerebellum: 21.0"	"HPA044307, HPA073521, HPA074382"	Enhanced		Supported	"Nucleoplasm,Nuclear membrane,Golgi apparatus"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 25: Non-specific - Transcription"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	3	Nucleoplasm	"Nuclear membrane, Golgi apparatus"	"HPA044307: , HPA073521: AB_2732226, HPA074382: "	"unprognostic (3.86e-5)"	"unprognostic (1.64e-1)"		"prognostic unfavorable (3.63e-5)"	"unprognostic (3.85e-2)"	"unprognostic (1.06e-4)"		"unprognostic (2.67e-2)"	"unprognostic (2.72e-1)"	"unprognostic (1.52e-1)"	"unprognostic (4.20e-3)"		"unprognostic (1.74e-5)"	"unprognostic (1.33e-1)"	"unprognostic (8.62e-2)"		"unprognostic (3.05e-2)"
NAT8B	"CML2, Hcml2, NAT8BP"	ENSG00000204872	"N-acetyltransferase 8B (putative, gene/pseudogene)"		2	73700576-73701340	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"			"Group enriched"	"Detected in some"	24	"intestine: 48.0;kidney: 33.6"	"Group enriched"	"Detected in some"	18	"Proximal enterocytes: 138.5;Proximal tubular cells: 109.7"	"Group enriched"	"Detected in many"	4	"liver cancer: 4.5;renal cancer: 10.9"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.1"	"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"									"HPA067855, HPA074519"	Supported		Approved	"Endoplasmic reticulum"			NA	NA			"Cluster 21: Neutrophils - Unknown function"		"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"		"Endoplasmic reticulum"		"HPA067855: AB_2732774, HPA074519: AB_2686699"	"unprognostic (4.01e-2)"	"unprognostic (5.69e-3)"	"unprognostic (8.31e-2)"	"unprognostic (1.19e-1)"	"unprognostic (5.91e-2)"	"unprognostic (1.06e-2)"	"unprognostic (4.51e-2)"	"unprognostic (7.48e-2)"	"unprognostic (3.14e-1)"	"unprognostic (9.41e-2)"	"unprognostic (5.94e-2)"	"unprognostic (4.42e-2)"	"prognostic favorable (3.24e-5)"	"unprognostic (7.93e-3)"	"unprognostic (1.04e-2)"	"unprognostic (2.13e-2)"	"unprognostic (9.78e-5)"
NKAIN4	"bA261N11.2, C20orf58, FAM77A"	ENSG00000101198	"Sodium/potassium transporting ATPase interacting 4"	Q8IVV8	20	63240784-63272694	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	23	"brain: 86.3;kidney: 50.8"	"Cell type enriched"	"Detected in some"	4	"Proximal tubular cells: 333.7"	"Cancer enriched"	"Detected in many"	6	"glioma: 45.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 27.2;Uterine cancer: 16.5"	"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA029876	Approved						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA029876: AB_10602038"	"unprognostic (1.26e-1)"	"unprognostic (4.27e-1)"	"unprognostic (6.07e-5)"	"prognostic unfavorable (3.14e-4)"	"unprognostic (6.65e-2)"	"unprognostic (2.59e-1)"	"unprognostic (7.07e-3)"	"unprognostic (1.94e-1)"	"unprognostic (3.62e-2)"	"unprognostic (2.69e-2)"	"unprognostic (1.83e-2)"	"unprognostic (1.27e-1)"	"unprognostic (2.12e-2)"	"unprognostic (1.44e-4)"	"unprognostic (5.66e-2)"	"unprognostic (6.74e-2)"	"unprognostic (4.01e-1)"
ACMSD		ENSG00000153086	"Aminocarboxymuconate semialdehyde decarboxylase"	Q8TDX5	2	134838616-134902034	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Decarboxylase, Lyase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	21	"kidney: 135.9;liver: 157.5"	"Group enriched"	"Detected in some"	4	"Hepatocytes: 130.4;Proximal tubular cells: 288.7"	"Group enriched"	"Detected in some"	23	"liver cancer: 21.2;renal cancer: 19.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 3.6"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA010533, HPA011179"	Enhanced		Approved	Cytosol			NA	NA		12000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Cytosol		"HPA010533: AB_1844517, HPA011179: AB_1844516"	"unprognostic (1.06e-2)"	"unprognostic (5.30e-2)"	"unprognostic (1.40e-1)"	"unprognostic (7.50e-2)"	"unprognostic (3.79e-2)"	"unprognostic (1.36e-2)"	"unprognostic (4.40e-3)"	"unprognostic (1.15e-1)"	"unprognostic (5.35e-4)"	"unprognostic (7.60e-2)"	"unprognostic (5.17e-2)"	"unprognostic (2.44e-3)"	"prognostic favorable (2.39e-4)"	"unprognostic (1.26e-1)"	"unprognostic (1.70e-1)"	"unprognostic (2.93e-2)"	"unprognostic (2.65e-5)"
SLC28A1	CNT1	ENSG00000156222	"Solute carrier family 28 member 1"	O00337	15	84884654-84945798	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	21	"intestine: 47.7;kidney: 46.9;liver: 108.6"	"Group enriched"	"Detected in some"	10	"Hepatocytes: 34.9;Hofbauer cells: 45.0;Proximal enterocytes: 87.5;Proximal tubular cells: 80.3"	"Group enriched"	"Detected in some"	63	"liver cancer: 10.9;renal cancer: 33.0"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"Kidney cancer: 3.9"	"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA019551, HPA056247"	Enhanced		Approved	"Nuclear speckles,Plasma membrane,Cytosol"			NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 22: Proximal enterocytes - Digestion"		"Plasma membrane"	"Nuclear speckles, Cytosol"	"HPA019551: AB_2670187, HPA056247: "	"unprognostic (3.81e-2)"	"unprognostic (1.60e-1)"	"unprognostic (2.22e-1)"	"unprognostic (7.49e-2)"	"unprognostic (5.08e-2)"	"unprognostic (7.08e-2)"	"unprognostic (8.68e-3)"	"unprognostic (1.82e-1)"	"unprognostic (1.98e-1)"	"unprognostic (2.18e-2)"	"unprognostic (1.63e-1)"	"unprognostic (8.37e-2)"	"unprognostic (1.35e-1)"	"unprognostic (7.42e-2)"	"unprognostic (7.72e-3)"	"unprognostic (6.65e-2)"	"unprognostic (1.55e-1)"
